CMDLINE C:\Users\garci\anaconda3\envs\ED\python.exe BusquedaInsertBthree.py
MEM 644.082031 1731279299.4285
MEM 644.089844 1731279299.5291
MEM 644.121094 1731279299.6295
MEM 644.144531 1731279299.7299
MEM 644.175781 1731279299.8304
MEM 644.402344 1731279299.9308
MEM 644.472656 1731279300.0310
MEM 644.472656 1731279300.1314
MEM 644.492188 1731279300.2319
MEM 644.519531 1731279300.3322
MEM 644.546875 1731279300.4326
MEM 644.578125 1731279300.5329
MEM 644.667969 1731279300.6332
MEM 644.667969 1731279300.7335
MEM 644.671875 1731279300.8342
MEM 644.910156 1731279300.9348
MEM 644.941406 1731279301.0350
MEM 644.972656 1731279301.1354
MEM 645.003906 1731279301.2360
MEM 645.082031 1731279301.3367
MEM 645.082031 1731279301.4369
MEM 645.093750 1731279301.5375
MEM 645.125000 1731279301.6377
MEM 645.148438 1731279301.7380
MEM 645.183594 1731279301.8386
MEM 645.210938 1731279301.9393
MEM 645.531250 1731279302.0397
MEM 645.531250 1731279302.1403
MEM 645.542969 1731279302.2408
MEM 645.570312 1731279302.3411
MEM 645.601562 1731279302.4412
MEM 645.625000 1731279302.5417
MEM 645.660156 1731279302.6421
MEM 645.722656 1731279302.7426
MEM 645.730469 1731279302.8430
MEM 645.750000 1731279302.9435
MEM 645.777344 1731279303.0438
MEM 645.808594 1731279303.1444
MEM 645.839844 1731279303.2449
MEM 645.925781 1731279303.3451
MEM 645.925781 1731279303.4455
MEM 645.933594 1731279303.5460
MEM 645.964844 1731279303.6465
MEM 645.992188 1731279303.7467
MEM 646.023438 1731279303.8470
MEM 646.054688 1731279303.9476
MEM 646.128906 1731279304.0479
MEM 646.132812 1731279304.1484
MEM 646.144531 1731279304.2489
MEM 646.179688 1731279304.3493
MEM 646.207031 1731279304.4499
MEM 646.234375 1731279304.5504
MEM 646.265625 1731279304.6511
MEM 646.332031 1731279304.7513
MEM 646.339844 1731279304.8517
MEM 646.355469 1731279304.9520
MEM 646.386719 1731279305.0526
MEM 646.414062 1731279305.1531
MEM 646.445312 1731279305.2533
MEM 646.535156 1731279305.3534
MEM 646.535156 1731279305.4540
MEM 646.542969 1731279305.5544
MEM 646.562500 1731279305.6548
MEM 646.597656 1731279305.7550
MEM 646.628906 1731279305.8553
MEM 646.652344 1731279305.9557
MEM 646.738281 1731279306.0564
MEM 646.738281 1731279306.1567
MEM 646.742188 1731279306.2571
MEM 647.125000 1731279306.3574
MEM 647.152344 1731279306.4579
MEM 558.707031 1731279306.5584
MEM 178.128906 1731279306.6591
