CMDLINE C:\Users\garci\anaconda3\envs\ED\python.exe InsertBthree.py
MEM 468.945312 1729974105.4292
MEM 469.597656 1729974105.5297
MEM 470.523438 1729974105.6302
MEM 471.175781 1729974105.7308
MEM 472.097656 1729974105.8315
MEM 473.000000 1729974105.9318
MEM 473.648438 1729974106.0318
MEM 474.558594 1729974106.1323
MEM 475.480469 1729974106.2326
MEM 476.121094 1729974106.3329
MEM 477.023438 1729974106.4331
MEM 477.925781 1729974106.5338
MEM 478.578125 1729974106.6342
MEM 479.480469 1729974106.7348
MEM 480.378906 1729974106.8352
MEM 481.031250 1729974106.9359
MEM 481.949219 1729974107.0365
MEM 482.843750 1729974107.1368
MEM 483.515625 1729974107.2373
MEM 484.417969 1729974107.3379
MEM 485.375000 1729974107.4384
MEM 486.023438 1729974107.5388
MEM 486.925781 1729974107.6391
MEM 487.835938 1729974107.7397
MEM 488.503906 1729974107.8399
MEM 489.414062 1729974107.9405
MEM 490.324219 1729974108.0410
MEM 491.238281 1729974108.1413
MEM 491.906250 1729974108.2416
MEM 492.816406 1729974108.3420
MEM 493.726562 1729974108.4426
MEM 494.375000 1729974108.5432
MEM 495.281250 1729974108.6437
MEM 496.183594 1729974108.7440
MEM 496.835938 1729974108.8443
MEM 497.738281 1729974108.9448
MEM 498.640625 1729974109.0454
MEM 499.296875 1729974109.1458
MEM 500.195312 1729974109.2461
MEM 501.109375 1729974109.3466
MEM 501.742188 1729974109.4469
MEM 502.632812 1729974109.5470
MEM 503.539062 1729974109.6476
MEM 504.183594 1729974109.7479
MEM 505.085938 1729974109.8484
MEM 506.015625 1729974109.9487
MEM 506.671875 1729974110.0493
MEM 507.589844 1729974110.1494
MEM 508.238281 1729974110.2496
MEM 509.148438 1729974110.3500
MEM 510.050781 1729974110.4502
MEM 510.703125 1729974110.5507
MEM 511.609375 1729974110.6512
MEM 512.511719 1729974110.7517
MEM 513.160156 1729974110.8522
MEM 514.074219 1729974110.9530
MEM 514.972656 1729974111.0535
MEM 515.613281 1729974111.1540
MEM 516.523438 1729974111.2543
MEM 517.437500 1729974111.3546
MEM 518.066406 1729974111.4550
MEM 518.960938 1729974111.5552
MEM 519.867188 1729974111.6558
MEM 520.519531 1729974111.7560
MEM 521.425781 1729974111.8563
MEM 522.328125 1729974111.9564
MEM 522.968750 1729974112.0569
MEM 523.863281 1729974112.1572
MEM 524.769531 1729974112.2575
MEM 525.414062 1729974112.3579
MEM 526.320312 1729974112.4585
MEM 527.226562 1729974112.5592
MEM 527.878906 1729974112.6599
MEM 528.785156 1729974112.7601
MEM 529.691406 1729974112.8605
MEM 530.593750 1729974112.9608
MEM 531.250000 1729974113.0610
MEM 532.144531 1729974113.1621
MEM 533.050781 1729974113.2625
MEM 533.707031 1729974113.3629
MEM 534.722656 1729974113.4645
MEM 535.621094 1729974113.5647
MEM 536.277344 1729974113.6650
MEM 537.187500 1729974113.7655
MEM 538.093750 1729974113.8657
MEM 538.750000 1729974113.9661
MEM 539.664062 1729974114.0666
MEM 540.562500 1729974114.1669
MEM 541.207031 1729974114.2672
MEM 542.093750 1729974114.3679
MEM 542.996094 1729974114.4687
MEM 543.656250 1729974114.5691
MEM 544.558594 1729974114.6693
MEM 545.460938 1729974114.7697
MEM 546.113281 1729974114.8700
MEM 547.011719 1729974114.9702
MEM 547.914062 1729974115.0706
MEM 548.574219 1729974115.1712
MEM 549.496094 1729974115.2717
MEM 550.394531 1729974115.3722
MEM 551.042969 1729974115.4728
MEM 551.953125 1729974115.5734
MEM 552.859375 1729974115.6737
MEM 553.753906 1729974115.7742
MEM 554.406250 1729974115.8747
MEM 555.320312 1729974115.9753
MEM 556.218750 1729974116.0755
MEM 556.839844 1729974116.1759
MEM 557.746094 1729974116.2761
MEM 558.656250 1729974116.3767
MEM 559.316406 1729974116.4772
MEM 560.214844 1729974116.5775
MEM 561.125000 1729974116.6778
MEM 561.777344 1729974116.7783
MEM 562.675781 1729974116.8785
MEM 563.574219 1729974116.9789
MEM 564.222656 1729974117.0791
MEM 565.136719 1729974117.1797
MEM 566.054688 1729974117.2800
MEM 566.703125 1729974117.3802
MEM 567.601562 1729974117.4805
MEM 568.613281 1729974117.5807
MEM 569.269531 1729974117.6814
MEM 570.183594 1729974117.7816
MEM 571.140625 1729974117.8819
MEM 571.785156 1729974117.9823
MEM 572.691406 1729974118.0826
MEM 573.339844 1729974118.1830
MEM 574.250000 1729974118.2832
MEM 575.050781 1729974118.3837
MEM 575.707031 1729974118.4842
MEM 576.609375 1729974118.5848
MEM 577.503906 1729974118.6850
MEM 578.156250 1729974118.7853
MEM 579.066406 1729974118.8858
MEM 579.960938 1729974118.9863
MEM 580.601562 1729974119.0867
MEM 581.507812 1729974119.1870
MEM 582.402344 1729974119.2874
MEM 583.027344 1729974119.3878
MEM 583.906250 1729974119.4881
MEM 584.789062 1729974119.5883
MEM 585.433594 1729974119.6886
MEM 586.332031 1729974119.7891
MEM 587.214844 1729974119.8894
MEM 587.843750 1729974119.9897
MEM 588.738281 1729974120.0902
MEM 589.636719 1729974120.1905
MEM 590.277344 1729974120.2908
MEM 591.175781 1729974120.3911
MEM 592.074219 1729974120.4917
MEM 592.707031 1729974120.5922
MEM 593.593750 1729974120.6924
MEM 594.500000 1729974120.7925
MEM 595.140625 1729974120.8930
MEM 596.042969 1729974120.9936
MEM 596.906250 1729974121.0939
MEM 597.542969 1729974121.1945
MEM 598.429688 1729974121.2948
MEM 599.312500 1729974121.3953
MEM 599.937500 1729974121.4956
MEM 600.832031 1729974121.5958
MEM 601.718750 1729974121.6963
MEM 602.355469 1729974121.7966
MEM 603.257812 1729974121.8970
MEM 604.160156 1729974121.9972
MEM 604.800781 1729974122.0975
MEM 605.710938 1729974122.1980
MEM 606.609375 1729974122.2981
MEM 607.269531 1729974122.3985
MEM 608.179688 1729974122.4988
MEM 609.078125 1729974122.5990
MEM 609.734375 1729974122.6992
MEM 610.644531 1729974122.7997
MEM 611.554688 1729974122.9000
MEM 612.203125 1729974123.0008
MEM 613.128906 1729974123.1011
MEM 614.039062 1729974123.2016
MEM 614.957031 1729974123.3023
MEM 615.617188 1729974123.4029
