CMDLINE C:\Users\garci\anaconda3\envs\ED\python.exe BusquedaInsertBthree2.py
MEM 187.324219 1731279371.2121
MEM 187.324219 1731279371.3124
MEM 187.324219 1731279371.4127
MEM 187.324219 1731279371.5131
MEM 187.324219 1731279371.6133
MEM 187.324219 1731279371.7137
MEM 187.324219 1731279371.8142
MEM 187.324219 1731279371.9148
MEM 187.324219 1731279372.0153
MEM 187.324219 1731279372.1154
MEM 187.324219 1731279372.2158
MEM 187.324219 1731279372.3163
MEM 187.324219 1731279372.4167
MEM 187.324219 1731279372.5170
MEM 187.324219 1731279372.6171
MEM 187.324219 1731279372.7175
MEM 187.324219 1731279372.8179
MEM 187.324219 1731279372.9181
MEM 187.324219 1731279373.0184
MEM 187.324219 1731279373.1186
MEM 187.324219 1731279373.2188
MEM 187.324219 1731279373.3192
MEM 187.324219 1731279373.4195
MEM 187.324219 1731279373.5198
MEM 187.324219 1731279373.6201
MEM 187.324219 1731279373.7208
MEM 187.324219 1731279373.8210
MEM 187.324219 1731279373.9214
MEM 187.324219 1731279374.0219
MEM 187.324219 1731279374.1225
MEM 187.324219 1731279374.2231
MEM 187.324219 1731279374.3240
MEM 187.324219 1731279374.4243
MEM 187.324219 1731279374.5249
MEM 187.324219 1731279374.6251
MEM 187.324219 1731279374.7254
MEM 187.324219 1731279374.8256
MEM 187.324219 1731279374.9259
MEM 187.324219 1731279375.0262
MEM 187.324219 1731279375.1264
MEM 187.324219 1731279375.2270
MEM 187.324219 1731279375.3272
MEM 187.324219 1731279375.4276
MEM 187.324219 1731279375.5280
MEM 187.324219 1731279375.6285
MEM 187.324219 1731279375.7290
MEM 187.324219 1731279375.8295
MEM 187.324219 1731279375.9298
MEM 187.324219 1731279376.0301
MEM 187.324219 1731279376.1306
MEM 187.324219 1731279376.2311
MEM 187.324219 1731279376.3312
MEM 187.324219 1731279376.4318
MEM 187.324219 1731279376.5321
MEM 187.324219 1731279376.6324
MEM 187.324219 1731279376.7328
MEM 187.324219 1731279376.8330
MEM 187.324219 1731279376.9333
MEM 187.324219 1731279377.0337
MEM 187.324219 1731279377.1339
MEM 187.324219 1731279377.2340
MEM 187.324219 1731279377.3346
MEM 187.324219 1731279377.4351
MEM 187.324219 1731279377.5352
MEM 187.324219 1731279377.6356
MEM 187.324219 1731279377.7359
MEM 187.324219 1731279377.8364
MEM 187.324219 1731279377.9365
MEM 187.324219 1731279378.0368
MEM 187.324219 1731279378.1373
MEM 187.324219 1731279378.2377
MEM 187.324219 1731279378.3381
MEM 187.324219 1731279378.4382
MEM 187.324219 1731279378.5387
MEM 187.324219 1731279378.6392
MEM 187.324219 1731279378.7398
MEM 187.324219 1731279378.8401
MEM 187.324219 1731279378.9406
MEM 187.324219 1731279379.0409
MEM 187.324219 1731279379.1413
MEM 187.324219 1731279379.2415
MEM 187.324219 1731279379.3417
MEM 187.324219 1731279379.4424
MEM 187.386719 1731279379.5427
MEM 187.386719 1731279379.6430
MEM 187.386719 1731279379.7434
MEM 187.386719 1731279379.8438
MEM 187.386719 1731279379.9441
MEM 187.386719 1731279380.0442
MEM 187.386719 1731279380.1444
MEM 187.386719 1731279380.2447
MEM 187.386719 1731279380.3453
MEM 187.386719 1731279380.4456
MEM 187.386719 1731279380.5459
MEM 187.386719 1731279380.6463
MEM 187.386719 1731279380.7464
MEM 187.386719 1731279380.8467
MEM 187.386719 1731279380.9472
MEM 187.386719 1731279381.0474
MEM 187.386719 1731279381.1478
MEM 187.386719 1731279381.2482
MEM 187.386719 1731279381.3484
MEM 187.386719 1731279381.4489
MEM 187.386719 1731279381.5491
MEM 187.386719 1731279381.6497
MEM 187.386719 1731279381.7500
MEM 187.386719 1731279381.8502
MEM 187.386719 1731279381.9504
MEM 187.386719 1731279382.0509
MEM 187.386719 1731279382.1513
MEM 187.386719 1731279382.2517
MEM 187.386719 1731279382.3521
MEM 187.386719 1731279382.4524
MEM 187.386719 1731279382.5526
MEM 187.386719 1731279382.6528
MEM 187.386719 1731279382.7530
MEM 187.386719 1731279382.8535
MEM 187.386719 1731279382.9539
MEM 187.386719 1731279383.0546
MEM 187.386719 1731279383.1551
MEM 187.386719 1731279383.2556
MEM 187.386719 1731279383.3559
MEM 187.386719 1731279383.4563
MEM 187.386719 1731279383.5568
MEM 187.386719 1731279383.6570
MEM 187.386719 1731279383.7572
MEM 187.386719 1731279383.8574
MEM 187.386719 1731279383.9576
MEM 187.386719 1731279384.0578
MEM 187.386719 1731279384.1582
MEM 187.386719 1731279384.2583
MEM 187.386719 1731279384.3587
MEM 187.386719 1731279384.4591
MEM 187.386719 1731279384.5593
MEM 187.386719 1731279384.6598
MEM 187.386719 1731279384.7603
MEM 187.386719 1731279384.8608
MEM 187.386719 1731279384.9613
MEM 187.386719 1731279385.0617
MEM 187.386719 1731279385.1620
MEM 187.386719 1731279385.2623
MEM 187.386719 1731279385.3628
MEM 187.386719 1731279385.4631
MEM 187.386719 1731279385.5634
MEM 187.386719 1731279385.6639
MEM 187.386719 1731279385.7641
MEM 187.386719 1731279385.8647
MEM 187.386719 1731279385.9650
MEM 187.386719 1731279386.0654
MEM 187.386719 1731279386.1655
MEM 187.386719 1731279386.2657
MEM 187.386719 1731279386.3661
MEM 187.386719 1731279386.4664
MEM 187.386719 1731279386.5669
MEM 187.386719 1731279386.6674
MEM 187.386719 1731279386.7677
MEM 187.386719 1731279386.8680
MEM 187.386719 1731279386.9682
MEM 187.386719 1731279387.0686
MEM 187.386719 1731279387.1688
MEM 187.386719 1731279387.2692
MEM 187.386719 1731279387.3694
MEM 187.386719 1731279387.4698
MEM 187.386719 1731279387.5704
MEM 187.386719 1731279387.6707
MEM 187.386719 1731279387.7709
MEM 187.386719 1731279387.8715
MEM 187.386719 1731279387.9719
MEM 187.386719 1731279388.0724
MEM 187.386719 1731279388.1730
MEM 187.386719 1731279388.2732
MEM 187.386719 1731279388.3739
MEM 187.386719 1731279388.4744
MEM 187.386719 1731279388.5747
MEM 187.386719 1731279388.6749
MEM 187.386719 1731279388.7756
MEM 187.386719 1731279388.8757
MEM 187.386719 1731279388.9758
MEM 187.386719 1731279389.0762
MEM 187.386719 1731279389.1767
MEM 187.386719 1731279389.2769
